时间,最高值,最低值,TRUE/FALSE,压强差值,匹配压强值,腔体编号,压强值_1,压强值_2,压强值_3,压强值_4,压强值_5,压强值_6,压强值_7,压强值_8,压强值_9,压强值_10,压强值_11,压强值_12,压强值_13,压强值_14,压强值_15,压强值_16,压强值_17,压强值_18,压强值_19,压强值_20,压强值_21,压强值_22,压强值_23,压强值_24,压强值_25,压强值_26,压强值_27,压强值_28,压强值_29,压强值_30,压强值_31,压强值_32,压强值_33,压强值_34,压强值_35,压强值_36,压强值_37,压强值_38,压强值_39
2025-03-28 10:44:22,-628.002,-619.539,True,8.463,-628.0,8,-628.0,-625.9,-625.9,-625.9,-625.9,-625.9,-624.57,-624.57,-624.57,-624.57,-624.57,-623.41,-623.41,-623.41,-623.41,-622.36,-622.36,-622.36,-622.36,-622.36,-621.35,-621.35,-621.35,-621.35,-621.35,-620.44,-620.44,-620.44,-620.44,-620.44,-619.54,-619.54,-619.54,-619.54,-619.54,-618.67,-618.67,-618.67,-618.67
2025-03-28 10:44:23,-653.284,-648.148,True,5.136,-653.28,10,-650.39,-650.39,-650.39,-649.41,-649.41,-649.41,-649.41,-648.94,-648.94,-648.94,-648.94,-648.69,-648.69,-648.69,-648.55,-648.55,-648.55,-648.55,-648.55,-648.55,-648.4,-648.4,-648.29,-648.29,-648.29,-648.29,-648.22,-648.22,-648.22,-648.22,-648.15,-648.15,-648.15,-648.15,-648.15,-647.82,-647.82,-647.82,-647.82
2025-03-28 10:44:23,-637.008,-635.417,True,1.591,-637.01,11,-636.54,-636.28,-636.28,-636.28,-636.28,-636.07,-636.07,-636.07,-636.07,-636.07,-635.92,-635.92,-635.81,-635.81,-635.81,-635.81,-635.81,-635.81,-635.67,-635.67,-635.67,-635.67,-635.56,-635.56,-635.56,-635.42,-635.42,-635.42,-635.42,-635.31,-635.31,-635.31,-635.31,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-28 10:44:24,-650.933,-648.438,True,2.496,-650.93,12,-650.93,-650.93,-650.39,-650.39,-650.39,-650.39,-650.39,-649.99,-649.99,-649.99,-649.7,-649.7,-649.7,-649.7,-649.7,-649.41,-649.41,-649.41,-649.2,-649.2,-649.2,-649.2,-648.98,-648.98,-648.98,-648.98,-648.76,-648.76,-648.76,-648.76,-648.58,-648.58,-648.58,-648.58,-648.44,-648.44,-648.44,-648.44,-648.44
2025-03-28 10:44:24,-667.933,-664.931,True,3.002,-667.93,13,-667.28,-666.85,-666.85,-666.85,-666.85,-666.52,-666.52,-666.52,-666.52,-666.2,-666.2,-666.2,-665.91,-665.91,-665.91,-665.91,-665.65,-665.65,-665.65,-665.65,-665.65,-665.65,-665.36,-665.36,-665.15,-665.15,-665.15,-665.15,-665.15,-664.93,-664.93,-664.93,-664.93,-0.29,-0.29,-0.29,-0.29,-0.76,-0.76
2025-03-28 10:44:25,-569.408,-564.887,False,4.521,-569.41,14,-569.41,-567.71,-567.71,-567.71,-567.71,-566.95,-566.95,-566.95,-566.95,-566.51,-566.51,-566.51,-566.51,-566.26,-566.26,-566.26,-566.04,-566.04,-566.04,-566.04,-566.04,-566.04,-565.86,-565.86,-565.54,-565.54,-565.54,-565.54,-565.54,-565.54,-565.14,-565.14,-565.14,-564.89,-564.89,-564.89,-564.89,-0.22,-0.22
2025-03-28 10:44:25,-659.505,-657.407,True,2.098,-659.51,15,-658.38,-658.38,-658.38,-658.17,-658.17,-658.17,-658.17,-657.95,-657.95,-657.95,-657.95,-657.95,-657.81,-657.81,-657.81,-657.81,-657.7,-657.7,-657.7,-657.7,-657.59,-657.59,-657.59,-657.59,-657.52,-657.52,-657.52,-657.52,-657.41,-657.41,-657.41,-1.19,-1.19,-1.19,-1.19,-2.06,-2.06,-2.06,-2.06
2025-03-28 10:44:26,-669.235,-666.847,True,2.387,-669.23,16,-668.11,-668.11,-668.11,-668.11,-668.11,-667.75,-667.75,-667.5,-667.5,-667.5,-667.5,-667.5,-667.32,-667.32,-667.32,-667.32,-667.21,-667.21,-667.21,-667.21,-667.1,-667.1,-667.1,-667.1,-667.03,-667.03,-667.03,-667.03,-666.96,-666.96,-666.96,-666.85,-666.85,-666.85,-666.85,-7.56,-7.56,-7.56,-7.56
2025-03-28 10:44:26,-674.443,-671.839,True,2.604,-674.44,17,-673.25,-673.25,-672.92,-672.92,-672.92,-672.92,-672.67,-672.67,-672.67,-672.67,-672.67,-672.45,-672.45,-672.45,-672.45,-672.27,-672.27,-672.27,-672.09,-672.09,-672.09,-672.09,-672.09,-671.95,-671.95,-671.95,-671.95,-671.84,-671.84,-671.84,-37.65,-37.65,-37.65,-37.65,-37.65,0.0,0.0,0.0,-0.22
2025-03-28 10:44:27,-686.415,-682.943,True,3.472,-686.41,18,-685.47,-685.47,-685.47,-685.47,-684.86,-684.86,-684.86,-684.86,-684.86,-684.86,-684.39,-684.39,-684.39,-684.39,-684.39,-683.92,-683.92,-683.92,-683.92,-683.92,-683.49,-683.49,-683.49,-683.49,-683.2,-683.2,-683.2,-683.2,-683.2,-683.2,-682.94,-682.94,-682.94,-682.94,-682.73,-682.73,-682.73,-682.73,-2.24
